"","country","year","percentage_where_some_content_withheld","accounts_specified","accounts_withheld","tweets_withheld","accounts_tos","accounts_no_action","total_withholding_accounts_and_tweets","total_requests_made","requests_where_content_withheld","gdp","region","freedom_score"
"146","Chile",2017,0,1,0,0,0,0,0,1,0,277746461078.319,"Americas",94
"147","Colombia",2017,0,3,0,0,3,0,0,3,0,311789874617.096,"Americas",64
"148","Croatia",2017,0,1,0,0,0,0,0,1,0,55319620157.6135,"Europe",87
"149","Cyprus",2017,0,0,0,0,0,0,0,0,0,22638608224.1301,"Europe",94
"150","Czech Republic",2017,0,0,0,0,0,0,0,0,0,215913545038.43,"Europe",94
"151","Dominican Republic",2017,0,2,0,0,2,0,0,2,0,79998045976.4898,"Americas",68
"152","Ecuador",2017,0,3,0,0,0,0,0,3,0,104295862000,"Americas",57
"153","Egypt",2017,0,0,0,0,0,0,0,0,0,235369129337.711,"MENA",26
"154","Estonia",2017,0,0,0,0,0,0,0,0,0,26792757827.3154,"Europe",94
"155","Finland",2017,0,1,0,0,0,0,0,1,0,254435041879.238,"Europe",100
"156","France",2017,13,1177,2,164,393,0,166,1039,135.07,2586285406561.51,"Europe",90
"157","Georgia",2017,0,0,0,0,0,0,0,0,0,16242956764.2957,"Eurasia",64
"158","Germany",2017,25,469,0,121,198,0,121,443,110.75,3656749414477.08,"Europe",95
"159","Greece",2017,0,2,0,0,2,0,0,2,0,203085551429.132,"Europe",84
"160","Haiti",2017,0,0,0,0,0,0,0,0,0,8409497402.4589,"Americas",39
"161","Hong Kong",2017,0,2,0,0,1,0,0,2,0,341687111841.092,"Asia",61
"162","India",2017,0,341,0,0,101,0,0,104,0,2652242857923.91,"Asia",77
"163","Indonesia",2017,0,93,0,0,36,0,0,57,0,1015423455783.28,"Asia",65
"164","Iraq",2017,0,0,0,0,0,0,0,0,0,195473049875.108,"MENA",27
"165","Ireland",2017,0,12,0,0,4,0,0,8,0,334834010485.56,"Europe",96
"166","Israel",2017,0,2,0,0,1,0,0,2,0,353253406954.97,"MENA",80
"167","Italy",2017,0,5,0,0,0,0,0,5,0,1956960611690.59,"Europe",89
"168","Japan",2017,9,424,0,64,303,0,64,104,9.36,4859950558538.97,"Asia",96
"169","Kazakhstan",2017,0,0,0,0,0,0,0,0,0,166805800595.704,"Eurasia",22
"170","Kenya",2017,0,1,0,0,0,0,0,1,0,78757391333.0219,"SSA",51
"171","Kuwait",2017,0,3,0,0,0,0,0,3,0,120707550280.251,"MENA",36
"172","Lebanon",2017,0,0,0,0,0,0,0,0,0,53393799668.325,"MENA",44
"173","Luxembourg",2017,0,0,0,0,0,0,0,0,0,64023412339.7075,"Europe",98
"174","Malaysia",2017,0,2,0,0,0,0,0,2,0,318958236443.122,"Asia",44
"175","Maldives",2017,0,0,0,0,0,0,0,0,0,4735989972.05433,"Asia",40
"176","Mexico",2017,0,4,0,0,1,0,0,5,0,1157736189998.15,"Americas",65
"177","Mongolia",2017,0,0,0,0,0,0,0,0,0,11425755279.5395,"Asia",85
"178","Nepal",2017,0,8,0,0,1,0,0,8,0,25180583769.9244,"Asia",52
"179","Netherlands",2017,17,12,0,1,6,0,1,12,2.04,831809944960.879,"Europe",99
"180","New Zealand",2017,0,0,0,0,0,0,0,0,0,202590814084.991,"Asia",98
"181","Norway",2017,0,0,0,0,0,0,0,0,0,398393955268.99,"Europe",100
"182","Pakistan",2017,0,82,0,0,19,0,0,24,0,304567253219.097,"Asia",43
"183","Paraguay",2017,0,1,0,0,0,0,0,1,0,39008900331.6733,"Americas",64
"184","Philippines",2017,0,1,0,0,1,0,0,1,0,313619747740.186,"Asia",63
"185","Poland",2017,0,3,0,0,3,0,0,3,0,526216495118.144,"Europe",89
"186","Portugal",2017,0,0,0,0,0,0,0,0,0,220811110492.149,"Europe",97
"187","Qatar",2017,0,1,0,0,1,0,0,1,0,166928571428.571,"MENA",26
"188","Russian Federation",2017,55,1225,87,566,224,0,653,1213,667.15,1578624060588.26,"Eurasia",20
"189","Saudi Arabia",2017,0,5,0,0,2,0,0,4,0,688586133333.333,"MENA",10
