"","country","year","percentage_where_some_content_withheld","accounts_specified","accounts_withheld","tweets_withheld","accounts_tos","accounts_no_action","total_withholding_accounts_and_tweets","total_requests_made","gdp"
"188","Paraguay","2017",0,1,0,0,0,0,0,1,39008900331.6733
"189","Philippines","2017",0,1,0,0,1,0,0,1,313619747740.186
"190","Poland","2017",0,3,0,0,3,0,0,3,526216495118.144
"191","Portugal","2017",0,0,0,0,0,0,0,0,220811110492.149
"192","Qatar","2017",0,1,0,0,1,0,0,1,166928571428.571
"193","Russian Federation","2017",55,1225,87,566,224,0,653,1213,1578624060588.26
"194","Saudi Arabia","2017",0,5,0,0,2,0,0,4,688586133333.333
"195","Serbia","2017",0,0,0,0,0,0,0,0,44120424391.86
"196","Singapore","2017",0,0,0,0,0,0,0,0,338406474038.67
"197","South Africa","2017",0,0,0,0,0,0,0,0,349554116683.818
"198","South Korea","2017",0,68,0,0,39,0,0,33,1530750923148.7
"199","Spain","2017",6,37,0,2,11,0,2,17,1309309642308.24
"200","Sweden","2017",0,0,0,0,0,0,0,0,540545236387.733
"201","Switzerland","2017",0,0,0,0,0,0,0,0,679950915261.122
"202","Thailand","2017",0,1,0,0,0,0,0,1,455275517239.347
"203","Turkey","2017",11,9289,204,497,1376,0,701,2710,852676778300.885
"204","Ukraine","2017",0,2,0,0,0,0,0,1,112190355158.178
"205","United Arab Emirates","2017",0,54,0,0,49,0,0,15,377701060177.47
"206","United Kingdom","2017",5,218,4,0,37,0,4,66,2666229179958.01
"207","United States","2017",0,261,0,0,179,0,0,122,19485393853000
"208","Uruguay","2017",0,1,0,0,0,0,0,1,56488991831.0239
"209","Uzbekistan","2017",0,0,0,0,0,0,0,0,59159945320.5667
"210","Venezuela","2017",0,2,0,0,0,0,0,1,NA
"211","Afghanistan","2018",0,0,0,0,0,0,0,0,19362969582.3643
"212","Argentina","2018",0,10,0,0,0,0,0,10,519871519807.795
"213","Australia","2018",29,9,0,10,0,0,10,7,1433904348500.12
"214","Austria","2018",0,1,0,0,0,0,0,1,455285818035.125
"215","Azerbaijan","2018",0,1,0,0,1,0,0,1,46939529411.7647
"216","Bahrain","2018",0,2,0,0,0,0,0,2,37746196808.5106
"217","Belarus","2018",0,0,0,0,0,0,0,0,59662495092.2654
"218","Belgium","2018",0,0,0,0,0,0,0,0,542761092103.469
"219","Bosnia and Herzegovina","2018",0,0,0,0,0,0,0,0,20161865419.4327
"220","Brazil","2018",21,89,0,52,26,0,52,42,1868626087908.48
"221","Canada","2018",0,8,0,0,4,0,0,8,1713341704877.01
"222","Chile","2018",0,0,0,0,0,0,0,0,298231133532.749
"223","Colombia","2018",0,2,0,0,0,0,0,2,331047040087.878
"224","Croatia","2018",0,0,0,0,0,0,0,0,60971699315.1776
"225","Cyprus","2018",0,0,0,0,0,0,0,0,24961988663.2026
"226","Czech Republic","2018",0,0,0,0,0,0,0,0,245225882903.37
"227","Dominican Republic","2018",0,3,0,0,0,0,0,3,85555390387.0355
"228","Ecuador","2018",0,5,0,0,2,0,0,4,108398058000
"229","Egypt","2018",0,0,0,0,0,0,0,0,250894760351.232
"230","Estonia","2018",0,0,0,0,0,0,0,0,30732144528.9795
"231","Finland","2018",0,0,0,0,0,0,0,0,276743120515.764
"232","France","2018",3,313,0,55,160,0,55,133,2777535239277.98
"233","Georgia","2018",0,0,0,0,0,0,0,0,17599660629.0202
"234","Germany","2018",12,54,0,66,8,0,66,33,3947620162502.96
"235","Greece","2018",0,1,0,0,1,0,0,1,218031844583.994
"236","Haiti","2018",0,0,0,0,0,0,0,0,9658721168.86849
"237","Hong Kong","2018",0,0,0,0,0,0,0,0,362682018243.286
"238","India","2018",5,1694,19,498,142,0,517,246,2718732231257.57
"239","Indonesia","2018",0,1683,0,0,522,0,0,189,1042173300625.55
"240","Iraq","2018",0,0,0,0,0,0,0,0,224228010477.889
"241","Ireland","2018",27,60,0,51,3,0,51,11,382487490532.479
"242","Israel","2018",33,42,22,0,11,0,22,3,370587977153.583
"243","Italy","2018",0,6,0,0,3,0,0,6,2083864259622.65
"244","Japan","2018",6,1101,2,82,482,0,84,196,4971323079771.87
"245","Kazakhstan","2018",0,6,0,0,1,0,0,2,179339994859.384
"246","Kenya","2018",0,0,0,0,0,0,0,0,87908262519.9164
"247","Kuwait","2018",0,3,0,0,1,0,0,3,140645364238.411
"248","Lebanon","2018",0,3,0,0,0,0,0,3,56639155555.5556
"249","Luxembourg","2018",0,0,0,0,0,0,0,0,70885325883.0941
"250","Malaysia","2018",0,29,0,0,20,0,0,12,358581943446.259
"251","Maldives","2018",0,0,0,0,0,0,0,0,5327457149.72581
"252","Mexico","2018",0,4,0,0,1,0,0,2,1220699479845.98
"253","Mongolia","2018",0,0,0,0,0,0,0,0,13066749138.3261
"254","Nepal","2018",0,0,0,0,0,0,0,0,29040398982.3466
"255","Netherlands","2018",0,4,0,4,3,0,4,3,913658465709.125
"256","New Zealand","2018",0,0,0,0,0,0,0,0,204923917869.355
"257","Norway","2018",0,0,0,0,0,0,0,0,434166615431.909
"258","Oman","2018",0,35,0,0,8,0,0,3,79276723016.9051
"259","Pakistan","2018",0,3004,0,0,141,0,0,243,314588210501.063
"260","Panama","2018",0,4,0,0,0,0,0,4,65055100000
"261","Paraguay","2018",0,0,0,0,0,0,0,0,40496953779.071
"262","Philippines","2018",0,0,0,0,0,0,0,0,330910343610.956
"263","Poland","2018",0,14,0,0,2,0,0,3,585663814824.044
"264","Portugal","2018",0,0,0,0,0,0,0,0,240674524464.24
"265","Qatar","2018",0,0,0,0,0,0,0,0,191362087912.088
"266","Russian Federation","2018",27,2053,59,357,764,0,416,1641,1657554647149.87
"267","Saudi Arabia","2018",0,9,0,0,4,0,0,8,786521831571.957
"268","Serbia","2018",0,0,0,0,0,0,0,0,50597289146.7041
"269","Singapore","2018",0,1,0,0,0,0,0,2,364156657769.87
"270","South Africa","2018",0,0,0,0,0,0,0,0,368288939768.322
"271","South Korea","2018",1,1019,0,2,889,0,2,143,1619423701169.63
"272","Spain","2018",0,10,0,0,0,0,0,10,1419041949909.82
"273","Sri Lanka","2018",0,0,0,0,0,0,0,0,88900770857.6351
"274","Sweden","2018",0,0,0,0,0,0,0,0,556086488936.559
"275","Switzerland","2018",0,0,0,0,0,0,0,0,705140354166.312
"276","Thailand","2018",0,0,0,0,0,0,0,0,504992757704.997
"277","Turkey","2018",18,13843,425,1464,2560,0,1889,8988,771350330455.267
"278","Ukraine","2018",0,0,0,0,0,0,0,0,130832374404.882
"279","United Arab Emirates","2018",0,2209,0,0,1828,0,0,111,414178942592.479
"280","United Kingdom","2018",8,249,0,15,48,0,15,66,2855296731521.96
"281","United States","2018",0,228,0,0,173,0,0,99,20544343456936.5
"282","Uruguay","2018",0,0,0,0,0,0,0,0,59596885024.3487
"283","Uzbekistan","2018",0,0,0,0,0,0,0,0,50499921557.5105
"284","Venezuela","2018",0,0,0,0,0,0,0,0,NA
"285","Australia","2012",0,1,0,0,0,0,0,1,1546151783872.96
"286","Brazil","2012",0,22,0,0,0,0,0,16,2465188674415.03
"287","Canada","2012",0,2,0,0,0,0,0,2,1823966686523.63
"288","France","2012",100,40,0,44,0,0,44,1,2683825225092.63
"289","Germany","2012",50,7,1,0,0,0,1,2,3527344944139.83
"290","Greece","2012",0,0,0,0,0,0,0,0,245670666639.047
"291","India","2012",0,16,0,0,0,0,0,2,1827637859135.7
"292","Japan","2012",0,5,0,0,0,0,0,1,6203213121334.12
"293","Pakistan","2012",0,0,0,0,0,0,0,0,224383620829.57
"294","Spain","2012",0,1,0,0,0,0,0,1,1324820091194.67
"295","Turkey","2012",0,9,0,0,0,0,0,6,873982246611.954
"296","United Kingdom","2012",0,25,0,0,0,0,0,6,2704887678386.72
"297","United States","2012",0,12,0,0,0,0,0,4,16197007349000
"298","Australia","2013",0,0,0,0,0,0,0,0,1576184467015.49
"299","Brazil","2013",33,50,2,26,0,0,28,12,2472806456101.29
"300","Canada","2013",0,0,0,0,0,0,0,0,1842018420853.1
"301","Ecuador","2013",0,0,0,0,0,0,0,0,95129659000
"302","France","2013",35,146,0,133,0,0,133,309,2811077725703.59
"303","Germany","2013",0,1,0,0,0,0,0,2,3732743446218.92
"304","Greece","2013",0,3,0,0,0,0,0,2,239862011450.103
"305","Hong Kong","2013",0,1,0,0,0,0,0,1,275696879834.966
"306","India","2013",13,54,0,13,0,0,13,8,1856722121394.53
"307","Indonesia","2013",0,0,0,0,0,0,0,0,912524136718.018
"308","Ireland","2013",0,1,0,0,0,0,0,1,238543538776.684
"309","Italy","2013",0,1,0,0,0,0,0,1,2141315327318.21
"310","Japan","2013",50,1,0,10,0,0,10,2,5155717056270.83
"311","Kuwait","2013",0,3,0,0,0,0,0,2,174161495063.47
"312","Mexico","2013",0,2,0,0,0,0,0,1,1274443084716.57
"313","Netherlands","2013",0,0,0,0,0,0,0,0,876923518850.405
"314","Pakistan","2013",0,0,0,0,0,0,0,0,231218567178.979
"315","Russian Federation","2013",64,14,1,9,0,0,10,14,2297128039058.21
"316","South Korea","2013",0,0,0,0,0,0,0,0,1305604981271.91
"317","Spain","2013",0,0,0,0,0,0,0,0,1354757433212.72
"318","Turkey","2013",0,2,0,0,0,0,0,2,950579413122.56
"319","United Arab Emirates","2013",0,5,0,0,0,0,0,2,390107556160.654
"320","United Kingdom","2013",0,9,0,0,0,0,0,9,2786022872706.81
"321","United States","2013",0,11,0,0,0,0,0,8,16784849190000
"322","Venezuela","2013",0,13,0,0,0,0,0,1,371005379786.566
"323","Argentina","2014",0,2,0,0,0,0,0,1,526319673731.638
"324","Australia","2014",0,0,0,0,0,0,0,0,1467483705131.74
"325","Brazil","2014",30,191,5,101,0,0,106,27,2455994050148.75
"326","Canada","2014",0,3,0,0,0,0,0,5,1801480123070.82
"327","Colombia","2014",0,0,0,0,0,0,0,0,381112119657.445
"328","Cyprus","2014",0,0,0,0,0,0,0,0,23128114786.7676
"329","Ecuador","2014",0,3,0,0,0,0,0,1,101726331000
"330","France","2014",43,38,0,15,0,0,15,35,2852165760630.27
"331","Germany","2014",37,42,14,6,0,0,20,43,3883920155292.26
"332","Greece","2014",0,2,0,0,0,0,0,1,237029579260.722
"333","Hong Kong","2014",0,0,0,0,0,0,0,0,291459356985.337
"334","India","2014",7,15,1,0,0,0,1,15,2039127446298.55
"335","Indonesia","2014",0,0,0,0,0,0,0,0,890814755233.225
"336","Ireland","2014",0,0,0,0,0,0,0,0,258471885130.304
"337","Italy","2014",0,0,0,0,0,0,0,0,2159133919743.77
"338","Japan","2014",21,26,0,19,0,0,19,19,4850413536037.84
"339","Kazakhstan","2014",0,2,0,0,0,0,0,1,221415572819.5
"340","Kenya","2014",0,1,0,0,0,0,0,1,61448046801.6041
"341","Kuwait","2014",0,2,0,0,0,0,0,2,162631763879.129
"342","Mexico","2014",0,34,0,0,0,0,0,2,1314563967425.24
"343","Netherlands","2014",71,14,0,12,0,0,12,14,890981311077.658
"344","Norway","2014",0,0,0,0,0,0,0,0,498410050251.256
"345","Pakistan","2014",0,24,0,0,0,0,0,4,244360888750.807
"346","Russian Federation","2014",13,91,3,9,0,0,12,91,2059984158438.46
"347","South Korea","2014",0,2,0,0,0,0,0,2,1411333926201.24
"348","Spain","2014",0,2,0,0,0,0,0,1,1369398844599.58
"349","Turkey","2014",50,2642,62,1820,0,0,1882,477,934185915386.096
"350","United Arab Emirates","2014",0,0,0,0,0,0,0,0,403137100068.073
"351","United Kingdom","2014",0,40,0,0,0,0,0,22,3063803240208.01
"352","United States","2014",0,60,0,0,0,0,0,32,17521746534000
"353","Venezuela","2014",0,0,0,0,0,0,0,0,482359318767.703
"354","Argentina","2015",0,0,0,0,0,0,0,0,594749285413.212
"355","Australia","2015",0,2,0,0,0,2,0,3,1351693984524.5
"356","Bosnia and Herzegovina","2015",0,1,0,0,0,1,0,1,16211540686.1355
"357","Brazil","2015",22,107,1,107,8,23,108,18,1802214373741.32
"358","Canada","2015",0,8,0,0,6,2,0,8,1552899925233.71
"359","Colombia","2015",0,3,0,0,2,1,0,3,293481748240.779
"360","Cyprus","2015",0,0,0,0,0,0,0,0,19779150116.4984
"361","Czech Republic","2015",0,1,0,0,0,1,0,1,186829940545.759
"362","Dominican Republic","2015",0,11,0,0,3,8,0,11,71164826720.514
"363","Ecuador","2015",0,20,0,0,2,18,0,16,99290381000
"364","Egypt","2015",0,1,0,0,0,1,0,1,332698041030.807
"365","France","2015",19,305,2,74,91,158,76,154,2438207896251.84
"366","Georgia","2015",0,1,0,0,0,1,0,1,14953950557.4406
"367","Germany","2015",20,10,1,1,4,4,2,10,3360549973888.58
"368","Greece","2015",0,4,0,0,1,3,0,4,196591353761.226
"369","Hong Kong","2015",0,0,0,0,0,0,0,0,309383627028.561
"370","India","2015",0,47,0,0,21,26,0,40,2103587813812.75
"371","Indonesia","2015",0,8,0,0,5,3,0,8,860854235065.079
"372","Iraq","2015",0,0,0,0,0,0,0,0,177498577312.923
"373","Ireland","2015",0,0,0,0,0,0,0,0,291499812103.645
"374","Italy","2015",0,4,0,0,4,0,0,4,1835899237320.04
"375","Japan","2015",3,130,0,1,81,48,1,37,4389475622588.97
"376","Kazakhstan","2015",0,18,0,0,13,5,0,4,184388432148.715
"377","Kenya","2015",0,1,0,0,0,1,0,1,64007750178.5014
"378","Kuwait","2015",0,3,0,0,2,1,0,3,114567298105.683
"379","Luxembourg","2015",0,1,0,0,0,1,0,1,57744457954.7297
"380","Malaysia","2015",0,24,0,0,23,1,0,3,301354756113.174
"381","Mexico","2015",0,0,0,0,0,0,0,0,1170564619927.69
"382","Mongolia","2015",0,111,0,0,23,88,0,111,11749620619.5962
"383","Netherlands","2015",40,6,0,3,0,4,3,5,765264949780.999
"384","New Zealand","2015",0,0,0,0,0,0,0,1,177208110322.704
"385","Norway","2015",0,0,0,0,0,0,0,0,385801550067.169
"386","Pakistan","2015",0,33,0,0,9,24,0,12,270556131701.171
"387","Russian Federation","2015",5,1774,14,82,1306,380,96,1735,1363594369577.82
"388","Saudi Arabia","2015",0,1,0,0,0,1,0,1,654269902880
"389","Serbia","2015",0,1,0,0,0,1,0,1,39628550868.7509
"390","South Korea","2015",0,131,0,0,61,70,0,79,1382764027113.82
"391","Spain","2015",0,6,0,0,1,5,0,6,1195119269971.52
"392","Turkey","2015",23,8092,414,3003,530,4992,3417,2211,859796872677.614
"393","United Arab Emirates","2015",0,0,0,0,0,0,0,0,358135057862.492
"394","United Kingdom","2015",5,120,0,82,11,32,82,22,2928591002002.51
"395","United States","2015",0,107,0,0,58,49,0,101,18219297584000
