COUNTRY,ISO CODE,TIME PERIOD,ACCOUNT INFORMATION REQUESTS,PERCENTAGE WHERE SOME INFORMATION PRODUCED,ACCOUNTS SPECIFIED,FLAGS,LINKS,REPORT LINKS
Spain,ES,July - December 2015,125,50%,287,/content/dam/transparency-twitter/flags/1x1/es.svg,/en/countries/es.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2015
Sri Lanka,LK,July - December 2015,-,-,-,/content/dam/transparency-twitter/flags/1x1/lk.svg,/en/countries/lk.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2015
Sweden,SE,July - December 2015,1,100%,1,/content/dam/transparency-twitter/flags/1x1/se.svg,/en/countries/se.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2015
Switzerland,CH,July - December 2015,1*,100%,1,/content/dam/transparency-twitter/flags/1x1/ch.svg,/en/countries/ch.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2015
Thailand,TH,July - December 2015,-,-,-,/content/dam/transparency-twitter/flags/1x1/th.svg,/en/countries/th.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2015
Trinidad and Tobago,TT,July - December 2015,-,-,-,/content/dam/transparency-twitter/flags/1x1/tt.svg,/en/countries/tt.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2015
Turkey,TR,July - December 2015,403,0%,718,/content/dam/transparency-twitter/flags/1x1/tr.svg,/en/countries/tr.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2015
United Arab Emirates,AE,July - December 2015,60*,43%,71,/content/dam/transparency-twitter/flags/1x1/ae.svg,/en/countries/ae.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2015
United Kingdom,UK,July - December 2015,427,76%,956,/content/dam/transparency-twitter/flags/1x1/gb.svg,/en/countries/uk.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2015
United States,US,July - December 2015,"2,673",79%,"7,435",/content/dam/transparency-twitter/flags/1x1/us.svg,/en/countries/us.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2015
Venezuela,VE,July - December 2015,-,-,-,/content/dam/transparency-twitter/flags/1x1/ve.svg,/en/countries/ve.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2015
TOTAL,,,"5,560",64%,"12,176",,,
