"","X1","X1_2","X1_1","country","year","percentage_where_some_content_withheld","accounts_specified","accounts_withheld","tweets_withheld","accounts_tos","accounts_no_action","total_withholding_accounts_and_tweets","total_requests_made","requests_where_content_withheld"
"659",659,659,659,"Maldives","July - December 2018",0,0,0,0,0,0,0,0,0
"660",660,660,660,"Mexico","July - December 2018",0,22,0,0,8,0,0,2,0
"661",661,661,661,"Mongolia","July - December 2018",0,0,0,0,0,0,0,0,0
"662",662,662,662,"Nepal","July - December 2018",0,3,0,0,3,0,0,0,0
"663",663,663,663,"Netherlands","July - December 2018",0,8,0,0,0,0,0,0,0
"664",664,664,664,"New Zealand","July - December 2018",0,0,0,0,0,0,0,0,0
"665",665,665,665,"Norway","July - December 2018",0,0,0,0,0,0,0,0,0
"666",666,666,666,"Oman","July - December 2018",0,2,0,0,1,0,0,0,0
"667",667,667,667,"Pakistan","July - December 2018",0,2349,0,0,204,0,0,1,0
"668",668,668,668,"Panama","July - December 2018",0,51,0,0,0,0,0,32,0
"669",669,669,669,"Paraguay","July - December 2018",0,0,0,0,0,0,0,0,0
"670",670,670,670,"Philippines","July - December 2018",0,2,0,0,2,0,0,0,0
"671",671,671,671,"Poland","July - December 2018",0,5,0,0,0,0,0,0,0
"672",672,672,672,"Portugal","July - December 2018",0,0,0,0,0,0,0,0,0
"673",673,673,673,"Qatar","July - December 2018",0,12,0,0,1,0,0,0,0
"674",674,674,674,"Russian Federation","July - December 2018",46,3391,15,1441,1124,0,1456,316,145.36
"675",675,675,675,"Saudi Arabia","July - December 2018",0,6,0,0,3,0,0,0,0
"676",676,676,676,"Serbia","July - December 2018",0,0,0,0,0,0,0,0,0
"677",677,677,677,"Singapore","July - December 2018",0,0,0,0,0,0,0,0,0
"678",678,678,678,"Slovenia","July - December 2018",0,1,0,0,0,0,0,0,0
"679",679,679,679,"South Africa","July - December 2018",0,0,0,0,0,0,0,0,0
"680",680,680,680,"South Korea","July - December 2018",0,1712,0,0,1461,0,0,53,0
"681",681,681,681,"Spain","July - December 2018",0,41,0,2,11,0,2,4,0
"682",682,682,682,"Sri Lanka","July - December 2018",0,0,0,0,0,0,0,0,0
"683",683,683,683,"Sweden","July - December 2018",0,0,0,0,0,0,0,0,0
"684",684,684,684,"Switzerland","July - December 2018",0,0,0,0,0,0,0,0,0
"685",685,685,685,"Thailand","July - December 2018",0,1,0,0,0,0,0,0,0
"686",686,686,686,"Tunisia","July - December 2018",0,0,0,0,0,0,0,0,0
"687",687,687,687,"Turkey","July - December 2018",4,9155,72,355,1588,0,427,597,23.88
"688",688,688,688,"Ukraine","July - December 2018",0,1,0,0,0,0,0,0,0
"689",689,689,689,"United Arab Emirates","July - December 2018",0,2155,0,0,1994,0,0,0,0
"690",690,690,690,"United Kingdom","July - December 2018",2,90,0,1,23,0,1,3,0.06
"691",691,691,691,"United States","July - December 2018",0,303,0,0,245,0,0,2,0
"692",692,692,692,"Uruguay","July - December 2018",0,0,0,0,0,0,0,0,0
"693",693,693,693,"Uzbekistan","July - December 2018",0,0,0,0,0,0,0,0,0
"694",694,694,694,"Venezuela","July - December 2018",0,0,0,0,0,0,0,0,0
