"","X1","X1_2","X1_1","country","year","percentage_where_some_content_withheld","accounts_specified","accounts_withheld","tweets_withheld","accounts_tos","accounts_no_action","total_withholding_accounts_and_tweets","total_requests_made","requests_where_content_withheld"
"108",108,108,108,"Iraq","January - June 2016",0,0,0,0,0,0,0,0,0
"109",109,109,109,"Ireland","January - June 2016",17,11,0,1,6,0,1,6,1.02
"110",110,110,110,"Israel","January - June 2016",0,1,0,0,1,0,0,1,0
"111",111,111,111,"Italy","January - June 2016",0,0,0,0,0,0,0,0,0
"112",112,112,112,"Japan","January - June 2016",4,169,0,21,78,0,21,67,2.68
"113",113,113,113,"Kazakhstan","January - June 2016",0,0,0,0,0,0,0,0,0
"114",114,114,114,"Kenya","January - June 2016",0,0,0,0,0,0,0,0,0
"115",115,115,115,"Kuwait","January - June 2016",0,9,0,0,7,0,0,5,0
"116",116,116,116,"Lebanon","January - June 2016",0,2,0,0,1,0,0,2,0
"117",117,117,117,"Luxembourg","January - June 2016",0,0,0,0,0,0,0,0,0
"118",118,118,118,"Malaysia","January - June 2016",0,4,0,0,3,0,0,2,0
"119",119,119,119,"Maldives","January - June 2016",0,1,0,0,0,0,0,1,0
"120",120,120,120,"Mexico","January - June 2016",0,2,0,0,1,0,0,2,0
"121",121,121,121,"Mongolia","January - June 2016",0,0,0,0,0,0,0,1,0
"122",122,122,122,"Netherlands","January - June 2016",33,7,0,3,2,0,3,6,1.98
"123",123,123,123,"New Zealand","January - June 2016",0,2,0,0,0,0,0,1,0
"124",124,124,124,"Norway","January - June 2016",0,0,0,0,0,0,0,0,0
"125",125,125,125,"Pakistan","January - June 2016",0,32,0,0,27,0,0,9,0
"126",126,126,126,"Philippines","January - June 2016",0,1,0,0,0,0,0,1,0
"127",127,127,127,"Russian Federation","January - June 2016",12,1698,10,182,1272,0,192,1601,192.12
"128",128,128,128,"Saudi Arabia","January - June 2016",0,0,0,0,0,0,0,0,0
"129",129,129,129,"Serbia","January - June 2016",0,1,0,0,1,0,0,1,0
"130",130,130,130,"Singapore","January - June 2016",0,2,0,0,0,0,0,2,0
"131",131,131,131,"South Africa","January - June 2016",0,1,0,0,0,0,0,1,0
"132",132,132,132,"South Korea","January - June 2016",0,17,0,0,9,0,0,17,0
"133",133,133,133,"Spain","January - June 2016",5,27,0,3,8,0,3,20,1
"134",134,134,134,"Sweden","January - June 2016",0,2,0,0,2,0,0,2,0
"135",135,135,135,"Turkey","January - June 2016",23,14953,222,1571,393,0,1793,2493,573.39
"136",136,136,136,"United Arab Emirates","January - June 2016",0,1,0,0,1,0,0,1,0
"137",137,137,137,"United Kingdom","January - June 2016",3,2090,0,749,27,0,749,174,5.22
"138",138,138,138,"United States","January - June 2016",0,150,0,0,82,0,0,100,0
"139",139,139,139,"Venezuela","January - June 2016",0,5,0,0,0,0,0,1,0
"140",140,140,140,"Afghanistan","January - June 2017",0,0,0,0,0,0,0,0,0
"141",141,141,141,"Argentina","January - June 2017",0,7,0,0,3,0,0,7,0
"142",142,142,142,"Australia","January - June 2017",29,6,0,23,1,0,23,7,2.03
"143",143,143,143,"Austria","January - June 2017",0,0,0,0,0,0,0,0,0
"144",144,144,144,"Azerbaijan","January - June 2017",0,0,0,0,0,0,0,0,0
"145",145,145,145,"Bahrain","January - June 2017",0,2,0,0,0,0,0,2,0
"146",146,146,146,"Belarus","January - June 2017",0,0,0,0,0,0,0,0,0
"147",147,147,147,"Belgium","January - June 2017",0,3,0,0,3,0,0,3,0
"148",148,148,148,"Bosnia and Herzegovina","January - June 2017",0,0,0,0,0,0,0,0,0
"149",149,149,149,"Brazil","January - June 2017",15,271,0,25,18,0,25,34,5.1
"150",150,150,150,"Canada","January - June 2017",0,12,0,0,5,0,0,11,0
"151",151,151,151,"Chile","January - June 2017",0,1,0,0,0,0,0,1,0
"152",152,152,152,"Colombia","January - June 2017",0,3,0,0,3,0,0,3,0
"153",153,153,153,"Croatia","January - June 2017",0,1,0,0,0,0,0,1,0
"154",154,154,154,"Cyprus","January - June 2017",0,0,0,0,0,0,0,0,0
"155",155,155,155,"Czech Republic","January - June 2017",0,0,0,0,0,0,0,0,0
"156",156,156,156,"Dominican Republic","January - June 2017",0,2,0,0,2,0,0,2,0
"157",157,157,157,"Ecuador","January - June 2017",0,3,0,0,0,0,0,3,0
"158",158,158,158,"Egypt","January - June 2017",0,0,0,0,0,0,0,0,0
"159",159,159,159,"Estonia","January - June 2017",0,0,0,0,0,0,0,0,0
"160",160,160,160,"Finland","January - June 2017",0,1,0,0,0,0,0,1,0
"161",161,161,161,"France","January - June 2017",13,1177,2,164,393,0,166,1039,135.07
"162",162,162,162,"Georgia","January - June 2017",0,0,0,0,0,0,0,0,0
"163",163,163,163,"Germany","January - June 2017",25,469,0,121,198,0,121,443,110.75
"164",164,164,164,"Greece","January - June 2017",0,2,0,0,2,0,0,2,0
"165",165,165,165,"Haiti","January - June 2017",0,0,0,0,0,0,0,0,0
"166",166,166,166,"Hong Kong","January - June 2017",0,2,0,0,1,0,0,2,0
"167",167,167,167,"India","January - June 2017",0,341,0,0,101,0,0,104,0
"168",168,168,168,"Indonesia","January - June 2017",0,93,0,0,36,0,0,57,0
"169",169,169,169,"Iraq","January - June 2017",0,0,0,0,0,0,0,0,0
"170",170,170,170,"Ireland","January - June 2017",0,12,0,0,4,0,0,8,0
"171",171,171,171,"Israel","January - June 2017",0,2,0,0,1,0,0,2,0
"172",172,172,172,"Italy","January - June 2017",0,5,0,0,0,0,0,5,0
"173",173,173,173,"Japan","January - June 2017",9,424,0,64,303,0,64,104,9.36
"174",174,174,174,"Kazakhstan","January - June 2017",0,0,0,0,0,0,0,0,0
"175",175,175,175,"Kenya","January - June 2017",0,1,0,0,0,0,0,1,0
"176",176,176,176,"Kuwait","January - June 2017",0,3,0,0,0,0,0,3,0
"177",177,177,177,"Lebanon","January - June 2017",0,0,0,0,0,0,0,0,0
"178",178,178,178,"Luxembourg","January - June 2017",0,0,0,0,0,0,0,0,0
"179",179,179,179,"Malaysia","January - June 2017",0,2,0,0,0,0,0,2,0
"180",180,180,180,"Maldives","January - June 2017",0,0,0,0,0,0,0,0,0
