country,year,sum_percentage_where_content_withheld_yr,gdp,sum_total_requests_made_yr
Czech Republic,2018,0,245225882903.37,0
Dominican Republic,2018,0,85555390387.0355,3
Ecuador,2018,0,108398058000,4
Egypt,2018,0,250894760351.232,0
Estonia,2018,0,30732144528.9795,0
Finland,2018,0,276743120515.764,0
France,2018,3,2777535239277.98,133
Georgia,2018,0,17599660629.0202,0
Germany,2018,12,3947620162502.96,36
Greece,2018,0,218031844583.994,1
Haiti,2018,0,9658721168.86849,0
Hong Kong,2018,0,362682018243.286,0
India,2018,4.88,2718732231257.57,256
Indonesia,2018,0,1042173300625.55,189
Iraq,2018,0,224228010477.889,0
Ireland,2018,27,382487490532.479,11
Israel,2018,33,370587977153.583,3
Italy,2018,0,2083864259622.65,7
Japan,2018,5.7,4971323079771.87,212
Kazakhstan,2018,0,179339994859.384,2
Kenya,2018,0,87908262519.9164,0
Kuwait,2018,0,140645364238.411,3
Lebanon,2018,0,56639155555.5556,3
Luxembourg,2018,0,70885325883.0941,0
Malaysia,2018,0,358581943446.259,12
Maldives,2018,0,5327457149.72581,0
Mexico,2018,0,1220699479845.98,4
Mongolia,2018,0,13066749138.3261,0
Nepal,2018,0,29040398982.3466,0
Netherlands,2018,0,913658465709.125,3
New Zealand,2018,0,204923917869.355,0
Norway,2018,0,434166615431.909,0
Oman,2018,0,79276723016.9051,3
Pakistan,2018,0,314588210501.063,244
Panama,2018,0,65055100000,36
Paraguay,2018,0,40496953779.071,0
Philippines,2018,0,330910343610.956,0
Poland,2018,0,585663814824.044,3
Portugal,2018,0,240674524464.24,0
Qatar,2018,0,191362087912.088,0
Russian Federation,2018,30.07,1657554647149.87,1957
Saudi Arabia,2018,0,786521831571.957,8
Serbia,2018,0,50597289146.7041,0
Singapore,2018,0,364156657769.87,2
South Africa,2018,0,368288939768.322,0
South Korea,2018,0.73,1619423701169.63,196
Spain,2018,0,1419041949909.82,14
Sri Lanka,2018,0,88900770857.6351,0
Sweden,2018,0,556086488936.559,0
Switzerland,2018,0,705140354166.312,0
Thailand,2018,0,504992757704.997,0
Turkey,2018,17.13,771350330455.267,9585
Ukraine,2018,0,130832374404.882,0
United Arab Emirates,2018,0,414178942592.479,111
United Kingdom,2018,7.74,2855296731521.96,69
United States,2018,0,20544343456936.5,101
Uruguay,2018,0,59596885024.3487,0
Uzbekistan,2018,0,50499921557.5105,0
Australia,2012,0,1546151783872.96,1
Brazil,2012,0,2465188674415.03,16
Canada,2012,0,1823966686523.63,2
France,2012,50,2683825225092.63,2
Germany,2012,50,3527344944139.83,2
Greece,2012,0,245670666639.047,2
India,2012,0,1827637859135.7,2
Japan,2012,0,6203213121334.12,1
Pakistan,2012,0,224383620829.57,1
Spain,2012,0,1324820091194.67,1
Turkey,2012,0,873982246611.954,7
United Kingdom,2012,0,2704887678386.72,7
United States,2012,0,16197007349000,4
Australia,2013,0,1576184467015.49,2
Brazil,2013,27.09,2472806456101.29,22
Canada,2013,0,1842018420853.1,1
Ecuador,2013,0,95129659000,1
France,2013,34.98,2811077725703.59,312
Germany,2013,50,3732743446218.92,6
Greece,2013,0,239862011450.103,2
Hong Kong,2013,0,275696879834.966,1
India,2013,20.4,1856722121394.53,10
Indonesia,2013,0,912524136718.018,2
Ireland,2013,0,238543538776.684,1
Italy,2013,0,2141315327318.21,1
Japan,2013,75,5155717056270.83,4
Kuwait,2013,0,174161495063.47,2
Mexico,2013,0,1274443084716.57,1
Netherlands,2013,100,876923518850.405,2
Pakistan,2013,0,231218567178.979,0
Russian Federation,2013,70.58,2297128039058.21,31
